ticker,Date,num_mentions
AUTO,01-01,2
AUTO,02-01,3
AUTO,03-01,4
AUTO,06-01,2
AUTO,07-01,1
AUY,01-01,8
AUY,02-01,8
AUY,03-01,1
AUY,04-01,3
AUY,05-01,2
AUY,07-01,1
AUY,09-01,1
AVA,05-01,1
AVAH,06-01,2
AVAV,01-01,2
AVAV,04-01,1
AVAV,05-01,7
AVAV,08-01,2
AVB,05-01,3
AVB,06-01,1
AVDV,05-01,1
AVGO,01-01,4
AVGO,02-01,2
AVGO,03-01,1
AVGO,05-01,1
AVGO,08-01,2
AVGO,09-01,1
AVID,09-01,4
AVIR,05-01,5
AVIR,06-01,1
AVIR,07-01,5
AVIR,08-01,5
AVIR,09-01,13
AVIR,10-01,3
AVO,06-01,1
AVPT,07-01,32
AVPT,08-01,23
AVPT,09-01,4
AVPT,10-01,1
AVTR,01-01,6
AVTR,07-01,1
AVUS,02-01,6
AVXL,02-01,2
AVXL,03-01,1
AVXL,06-01,1
AVXL,07-01,3
AVXL,08-01,1
AVXL,09-01,2
AWAY,01-01,48
AWAY,02-01,66
AWAY,03-01,53
AWAY,04-01,5
AWAY,05-01,2
AWAY,06-01,12
AWAY,12-01,2
AWK,01-01,4
AWK,02-01,1
AWRE,02-01,1
AX,01-01,6
AX,02-01,6
AX,04-01,8
AXNX,04-01,3
AXON,02-01,8
AXON,03-01,4
AXON,06-01,1
AXON,08-01,2
AXP,06-01,1
AXP,07-01,1
AXP,09-01,2
AY,01-01,8
AY,02-01,7
AY,03-01,1
AY,05-01,1
AY,08-01,1
AY,12-01,2
AYRO,03-01,1
AYRO,06-01,1
AYTU,03-01,1
AYX,01-01,4
AYX,04-01,9
AYX,05-01,8
AYX,06-01,2
AYX,07-01,1
AYX,12-01,2
AZEK,03-01,1
AZEK,06-01,2
AZEK,07-01,1
AZEK,08-01,1
AZN,01-01,4
AZN,02-01,11
AZN,03-01,19
AZN,04-01,7
AZN,05-01,1
AZN,06-01,1
AZN,09-01,1
AZN,12-01,2
AZO,03-01,1
AZO,07-01,2
AZO,09-01,1
AZUL,06-01,2
AZZ,03-01,3
AZZ,07-01,2
B,01-01,8
B,02-01,4
B,03-01,3
B,05-01,1
B,06-01,1
BA,01-01,134
BA,02-01,107
BA,03-01,82
BA,04-01,25
BA,05-01,31
BA,06-01,31
BA,07-01,76
BA,08-01,11
BA,09-01,7
BA,12-01,18
BABA,01-01,1404
BABA,02-01,157
BABA,03-01,73
BABA,04-01,144
BABA,05-01,170
BABA,06-01,233
BABA,07-01,547
